Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
Italy-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Italy,ECA,Europe and Central Asia,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a) The Milan Air and Climate Plan includes a climate risk assessment.

b) Milan has the Air and Climate Plan as a guiding climate strategy.",https://www.comune.milano.it/documents/20126/430903598/Piano+Aria+Clima+-+Approvato+-220325.pdf/bb865fc9-f37b-a90a-b4d1-ff595e7162ef?t=1652093098404,1.0,
Italy-Climate change framework law,Italy,ECA,Europe and Central Asia,High income,Climate change framework law,Governance,CC law,No,,,0.0,
Italy-National adaptation plan,Italy,ECA,Europe and Central Asia,High income,National adaptation plan,Governance,NAP,Yes,National Adaptation Strategy,https://www.mase.gov.it/sites/default/files/archivio/allegati/clima/documento_SNAC.pdf,1.0,
Italy-Long-term strategy,Italy,ECA,Europe and Central Asia,High income,Long-term strategy,Governance,LTS,No,,,0.0,
Italy-Does the country include environmental criteria in procurement tenders? Give one example,Italy,ECA,Europe and Central Asia,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The revised Energy Efficiency Directive (EU/2023/1791) establishes ‘energy efficiency first’ as a fundamental principle of EU energy policy, giving it legal-standing. Energy efficiency must be considered by EU countries in all relevant policy and major investment decisions taken in the energy and non-energy sectors.

The revised directive entered into force on 10 October 2023.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive_en,1.0,
Jamaica-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The Climate Change Division in Jamaica was founded in 2012 and is housed under the Ministry of Water, Land, Environment and Climate Change. The Climate Change Policy Framework for Jamaica (2015) assigns coordination and facilitation responsibility for the achievement of national climate change policy goals to the Climate Change Division. ",https://cdn.climatepolicyradar.org/navigator/JAM/1900/jamaicas-adaptation-communication_4b2047c0a460882e3ef9c1ed519a7536.pdf,1.0,
Jamaica-Does the national government (or other body) publish climate risk information covering all local government units?,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"The Meteorological Service of Jamaica provides weather forecasts and severe weather warnings. It has a climate branch but no regular vulnerability assessment covering all local governments units seems to be published on their website. 
https://metservice.gov.jm/",,0.0,
Jamaica-Do fiscal risk statements identify climate change-related risks?,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,"The fiscal responsibility statement mentions “economic shocks from climate change” and the fiscal risk statement 23-24 includes a whole section on risks related to natural disasters. 
https://www.mof.gov.jm/wp-content/uploads/Fiscal-Policy-Paper-FY2023-24.pdf",,1.0,
Jamaica-Is climate change reflected in the budget guidelines?,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"The 2024 budget speech mentions the vulnerability of Jamaica to hurricanes, tropical cyclones, excess rainfall, and earthquake risks and the impact it can have on economic stability, but does not make any reference to climate change. 
https://www.mof.gov.jm/budget/

Climate change is however mentioned in the budget presentation for the Ministry of Economic Growth and Job Creation, which states as one of its objectives to “increase resilience to climate change with focus on the capacity to mitigate risks, stresses, and shocks”, as well as in the budget presentation for the Forestry Department and the National Environment and Planning Agency. 
https://www.mof.gov.jm/wp-content/uploads/2024-2025-ESTIMATES-OF-EXPENDITURE-1.pdf",,0.0,
Jamaica-Are climate-related expenditures identified in the budget and/or tracked?,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Partial,"According to IMF Jamaica Technical Assistance Report -Climate Public Investment Management Assessment (C-PIMA) (2023), ""climate-related public investment spending is not identified in the budget, but the Ministry of Finance and Public Service has initiated a reform in this area. The Interamerican Development Bank (IADB) is providing technical assistance for the adoption of climate budget tagging"".",https://www.elibrary.imf.org/view/journals/002/2023/236/article-A001-en.xml,0.5,
"Jamaica-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,"The Project Concept Summary template available in the Public Investment Management System section of the Ministry of Finance website includes a section named “environmental and climate change impact screening (if relevant)”, which invites to “conduct an initial/preliminary environmental scan to determine if the project will have significant negative impacts” and to indicate steps that could be proposed in the project design to reduce, avoid or offset significant adverse impacts”. 

It also indicates that “a climate impact scan should be done based on available data”, which should include the following : ""listing Climate Risk Events/Hazards that are likely to occur in the project area in the future (e.g. landslides, hurricane–winds, sea level rise, hurricane storm surge, flooding and drought); determining the likelihood of these various climate risk events/hazards impacting the project in the future; and determining the extent of damage that is likely to done to the project if any of the climate risk events (hazards) occur. These preliminary findings as well as the recommendations should be used to inform the detailed EIA for enhanced climate resilience at the proposal stage”.",https://www.mof.gov.jm/documents/associated-entities/,1.0,
"Jamaica-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No TCFD report by Jamaican SOEs was found on the Internet. No mandatory TCFD requirements.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Jamaica-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,"According to Jamaica Adaptation’s Communication (2022) «Work will also be pursued to have vertical integration of the NAP with local level planning mechanisms, including local governments (Municipal Corporations, MCs). As a participating country of the Local Climate Adaptive Living Facility (LoCAL) managed by the United Nations Capital Development Fund (UNCDF), Jamaica will seek to enhance the capacity of MCs to integrate climate change in development planning and implementation». 
https://cdn.climatepolicyradar.org/navigator/JAM/1900/jamaicas-adaptation-communication_4b2047c0a460882e3ef9c1ed519a7536.pdf

But at this stage, no climate risk assessment nor climate change policy was found at the subnational level. ",,0.0,
Jamaica-Climate change framework law,Jamaica,LAC,Latin America and the Caribbean,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
